Column1;userName;content;score;reviewCreatedVersion
2;aria ha;Mau jual unit disuruh masukkan otp. Tapi Otp lama terkirim sampai lebih setengah jam. Pas dimasukkan tidak bisa. Padahal kondisi nomor saya aman, terima sms lain masih bisa;1;2.5.0
6;Ario Yosinarta;Baru mau daftar udh ditolak foto selfie, ga jadi invest 1m deh. Bye.;1;
7;Riska A. Azis;JELEK !!! BERKALI KALI UPLOAD E KTP GAGAL TERUS👎👎👎👎;1;2.5.0
9;Hilmi Muhammad;Proses pembelian sangat lambat;1;2.4.0
11;Vyny Wynata;Transaksi selalu telat di proses melebihi 7 hari kerja, why? Padahal hari kerja bukan hari libur nasional. Tolong berikan solusi;1;2.4.0
13;fadhilah akmaldika;Hati hati invest di bareksa. Saya sudah melakukan pindah bank. Namun oleh pihak bareksa hingga saat ini masih menggunakan bank yang lama. Sehingga produk reksadana tidak bisa dijual. Apa pihak bareksa sengaja menahan, agar tidak bisa menjual produk?;1;2.4.0
16;Zafirah Nur Afifah;Diminta bayar pakai ovo, tapi tidak ada notif apapun masuk ke ovo saya sehingga tidak bisa melanjutkan pembayaran apapun, aneh.;1;2.3.0
20;okkyhw;App baik, tapi tiap saya tanya ke customer servis nya hanya diread saja pertanyaannya dan tidak pernah memberi solusi;1;2.3.0
23;Diwyacitta Dirda Gupita;Mau ganti profile error mulu. Mau beli emas error juga, selalu balik ke halaman depan.;1;2.3.0
26;Muhamad Aliyin Nur;Masih terdapat BUG pada aplikasi, tidak bisa merubah rekening ke Bank Syariah Indonesia bagi yang pernah menambahkan rekening BRI Syariah pada akun nya, karena No. Rekening sama.;1;2.3.0
28;Elia Yohan Yosefa;the customer service so bad. saya komplain terkait bunga yang tidak kunjung masuk ( seharusnya setiap tgl 10) dr SBR yang saya beli tapi tidak ada tanggapan & respon baik dr CS Live Chat maupun E-mail;1;2.3.0
30;ucup beser;😑 logonya bagus sebelum ramadhan;1;2.2.0
39;Engine Leo;Lupa password, klik link buat reset password. Bukannya reset malah auto login ke akun di browser & tidak diarahkan buat create new password, malah menu ganti password yg mana harus ingat password lama dulu.;1;2.2.0
40;Septian Gilang Permana Putra;SMS OTP tidak lagi berfungsi!;1;2.2.0
44;Eko Helmanza;Halo, app nya tidak bisa dibuka;1;2.2.0
48;James Wijaya;I give this app 1 star only because when I did registration, the system said it was null during the input of bank account number. I will not change this review until bareksa can solve the issue. Call centre also did not help alot in this issue. It seems costumer services (cs) always using reply templates as solution to the non-templates one like in my case. They forget what the fundamental purpose of cs is.;1;
51;Benyamin Limanto;The payment confirmation too buggy now after 3 years using it. I can't comprehent the problem tbh. Especially failure to change status when payment already paid using payment gateway or even when using manual transfer upload. Please discipline your software engineer. This never happen before for 3 years.. yet happen now.. please pay attention to this. This bad experience made me mad tbh..;1;2.2.0
57;Okijé Lee;daftar gagal melulu, HMAC signature cannot be verified bla bla bla....;1;2.1.0
68;Anggi Saputra;cant login to the app, coba lupa pin tetap tidak bisa;1;2.1.0
