,content,score
0,Bagus buat pemula belajar investasi,5
1,nice investment app 👍,5
2,terima kasih,5
3,Mau register tapi kode verifikasinya tidak masuk masuk,1
4,"Bulan ini Ada biaya tambahan materai 10,000 haduh",3
5,"Hahah lucu, transfer pake no rek ISTRI harus pake materai segala, udh melebihi biaya admin, sungguh menyusahkan dan merugikan. Review ini gk akan saya edit sebelum ada kebijakan yang lebih memudahkan, misal fitur transfer ditambah, (ada pilihan pakai no rek lain, dan sebagainya) tolong lebih kreatif dong developernnya saya yakin gk bego",2
6,"Merasa tidak aman, karena baru saja saya dapat sms otp padahal saya tidak memintanya.",2
7,Kode referral: reksa,5
8,Good 👍,5
9,Good,5
10,"Aplikasi reksa dana yang bagus untuk pemula. Cuma disayangkan, aplikasinya sangat unstable sehingga kadang susah dibuka ataupun terkendala pas mau beli dan autodebit reksa dana. Referralku= balapmotor Monggo yang mau nabung biar dapat cashback 25k.",3
11,"Mudah buat pemula dgn minim budget, oh ya tolong tambahin aplikasi DANA untuk pembayaran juga dong min",5
12,"Kode referral bisa dapet 25rb saham bibit= yukcuanteros Klo untuk sekedar nabung dengan ""bunga"" sedikit lebih besar dari nabung di bank dlm jangka waktu lama apps ini cocok. Klo mw cpt kaya sptnya bukan ini pilihannya😏",3
13,awesome app,5
14,"mantap, aplikasi yang bagus dan berguna",5
15,easy to use..nice app,5
16,Bagus dan penarikan dibayar juga terdaftar di OJK...,5
17,Saran : untuk sembunyiin aja data reksadana yang unitnnya kurang dari 2 angka di belakang koma,3
18,Pakai kode referral saya : c6skgde,5
19,"tambahin metode pembayaran ""dana"" dong min",4
20,"Baru invest 300k aja minus terus, padahal saya cek di web harga pasarnya naik di bibit malah berkurang, jadi curiga dikorupsi manajer investnya 🤔",1
21,Sangat praktis dan kita bisa mengelola keuangan kita dengan baik,5
22,Cara investasi yang sangat mudah mulai dari interface apps sampai ke pilihan produknya. Keep it up !!,5
23,"tidak bisa dibuka dalam mode debug :) sedangkan hp utama saya kadang saya pakai mode debug untuk debug aplikasi yg saya buat sendiri, perasaan dulu ga ada alert gini deh",1
24,Bermanfaat. Dapat dipercaya,5
25,Good apps,5
26,"Kembalikan dark mode. Setelah update, tampilan layar tidak mengikuti pengaturan sistem. Saya sering buka Bibit sebelum tidur, biar bisa mimpi indah ketika lihat kuntungan portfolio. Tapi mode gelap nya setelah update jadi hilang. Pls kembalikan.",2
27,Good apps but customer support representative service is really disgusting they have no good attitude and act like freaking idiot who cannot understand the inquiry of the call/conversation they keep copy pasting something unecessary templates even after I tried to explain to them.,2
28,investasi untuk pemula dengan bantuan robot yg bisa mengukur profil risiko kita. Jaman sekarang penting invest untuk masa depan lebih baik. Thanks Bibit!,5
29,Very good to learn investment as a noob,5
30,good,5
31,"UI nya memanjakan mata, Simple dan gampang dimengerti, Dijaga aja tetap tdk lemot dan tetap jd app yg super aman",5
32,mudah di mengerti,5
33,"Hentikan notifikasi ""ikutan nabung rutin challenge"". Mana cashbacknya? Tidak ada opsi untuk menonaktifkan notifikasi. Spam!",1
34,👌🤲😇,5
35,"Saya sangat suka Bibit. Tapi setiap saat saya selalu dapat push notifications yg tidak penting (bagi saya). Saya hanya perlu notifikasi terkait transaksi saja. Tidak perlu promo2, edukasi, atau event. Saya cari di pengaturan bibit tidak ada opsi mematikan notifikasi. Rasanya ingin saya uninstall aplikasi ini gara-gara push notif.",2
36,Mantap jiwa dah pokoknya,5
37,investasi,5
38,"Buat orang awan yang baru mau memulai investasi, Aplikasi ini cocok banget sumpah, mudah dimengerti, interface nyanjuga friendly ga banyak macem. Bener2 top deh!",5
39,"Bintang 5 beneran ""gakpercaya"" Kode referral ini, bisa kasih kamu cashback di Bibit berani buktiin ga? Jangan cuma komen jelek. Cobain dulu kode refreralnya!",5
40,nice,5
41,Amazing👍👍👍👍,5
42,Wwqwasaaawwwwwwww ww w lg apaa siapa saja yg di mana pak anton ard ada di mana pak Harto the unexpected and I finish all of the total is the first day I think it's a stoopid you want me know when you're ready for the info mbak lely di mana pak anton BOD weekly yg perlu ditanda tangan yang lain www,3
43,ok,5
44,Mantab,5
45,Easy to use.,5
46,good,5
47,"very nicely made, good for beginners",5
48,guud apk,5
49,Buat nabung euy,5
50,"Upload KTP gagal terus padahal sinyal internet kencang, regristrasi kok dibuat sulit",1
51,ok,5
52,"buat pemula ok, tapi jangan berharap terlalu tinggi, karena ini reksadana anggap aja nabung jangka panjang :)",4
53,Tools Investasi yg simple dan nyaman buat pemula,5
54,proses masuk dan pencairan lama. rugi waktu di sini,2
55,"Kapok ikut promo bibit berkali2 ga pernah dapet padahal snk sudah sesuai semua, giliran chat ke cs cuma dibales template.",1
56,easy to use,5
57,"bibit, aplikasinya enteng enak dipakai user friendly selama pemakaian mungkin hampir 1 tahun saya tidak menemukan error yang fatal. tapi sayang saat ini saya sudah pindah instrumen investasi lain karena alasan personal, jadi terima kasih bibit sudah jadi instrumen investasi yang bagus. good luck ^^",5
58,pelayanan nya bagus,5
59,bagus,5
60,"So far ga ada error, tapi jujur UI/UX nya kurang bagus, ga friendly apalagi buat pemula. Kalau dibanding sama aplikasi lain yang sejenis sih kalah yah.",4
61,"Tidak bisa bikin akun stockbit Dari aplikasi bibit, mentok di verif wajah, padahal gak pake kacamata dll pencahayaan cukup ttp aja katanya kesalahan 😑 OS device saya android versi terbaru, aplikasi bibit jga versi terbaru",1
62,Bener bener sesuka itu sama bibit!,5
63,good app,5
64,"I'm still a beginner here, I want to try to learn to invest. Many people have recommended me this app. Hopefully this app can help me.",5
65,Aplikasi yang bagus untuk memulai investasi.. mantap,5
66,"tolong buat fitur dark mode untuk aplikasinya, saya yg biasa pakai dark mode ketika buka aplikasi ini mata saya jadi sakit..",5
67,"Untuk investasi Reksadana, Bibit pilihan terbaik sih sejauh ini",5
68,easy to use. reliable record.,5
69,"Easy to use, low minimun investment, and many options",5
70,smooth and nice UI,5
71,Xhdv ex xx tdr off cause,2
72,Sangat berguna untuk investasi 😁,5
73,ayoo investasi,5
74,"this apps make me easier to start investing and you dont need to know about technical and fundamental in investments because all of it had been done by investment manager who are known as MI. So that, it makes you as easy as online shopping. LoL",5
75,"Mudah, Cepat dan Cuan",5
76,KODE REFERALL : NABUNGBARENGYES,5
77,"Senang bergabung dengan bibit, pelayanan yang diberikan sangat baik cepat tanggap, semoga kedepan semakin sukses dan bisa menjadikan bangsa Indonesia lebih melek keuangan serta bisa menjadi bangsa yang lebih maju dan sejahtera 🙏🙏🤍🤍",5
78,blm ada untung untungnya..hik,4
79,"Portofolio ga guna -_- , udah di setel mau beli yang mana mana aja, eh malah beli yang saran awal -_- itu opsi yang lain ga udah di pasang aja kalau gitu.",1
80,ngebantu banget buat latihan ngatur duit buat pelajar thx bibit!,5
81,"tolong update menggunakan BSI , karena setiap invest rutinan selalu kepotong biaya transfer.",1
82,"Bismillah, nyaman pakai bibit karna respon dari customers service nya josss bangetttt, sampai malam pun masih tetap dan cepat dijawabnya, sabar banget lagi ngadepin aku yang lemot buat ngertinya, dijelasin sampe bener bener paham. itu menambah poin plus kepercayaan di Bibit. Bismillah tetap selalu amanah ramah dan menyenangkan yaaa. Dan banyakin promo cashbacknya, Thankyou!!!",5
83,easy to use. Love this app,5
84,"utk menabung jangka panjang boleh lah ini bibit, yg pnting bkn duit emergency ya yg dipke tmn2..",5
85,"Simple to use, easy to invest, easy to get money.",5
86,aplikasi investasi yg aman terpercaya dan mudah penggunaannya,5
87,VG,5
88,nice investment app,5
89,i think is gud,5
90,ntaps,5
91,Aplikasi yg bagus untuk yg ingin berinvestasi. Krn Investasi jadi lebih mudah dilakukan,5
92,"What a great investment app, must try this one!!!",5
93,Pencairan lama bgt,1
94,User Friendly Interface👍,5
95,mantabb,5
96,"Buat yang mau daftar, daftar aja, mudah Kok. Trs jangan lupa Pakai Kode Refferal ( URFATH ) biar dapet CASHBACK 25.000 GRATIS!!",5
97,platform yg cocok banget bagi pemula yang ingin nabung reksadana. penggunaannya sangat mudah. ada rekomendasi robo dan admin yg gercep bgt merespon setiap pertanyaan smp kita paham. yook mulai nabung reksadana dari sekarang :),5
98,"Coba2 main saham tapi ngeri2 sedap. Transaksi nya nggak realtime. Sekarang pencet beli atau jual, transaksinya perlu 2 hari kerja. Jadi klo sekarang hrg saham turun, bisa jadi 2 hari lagi naik. Gitu juga kalau mau jual. Klo buat investasi jangka panjang boleh lah. Tapi klo jangka pendek kyknya skip dulu lah",3
99,dari awal bibit terbit sampai sekrang tidak pernah ngecewain apknya.,5
100,memperbaiki error grafik sampai sebulan belum selesai selesai,1
101,please add dark mode,4
102,"Secara keseluruhan OK.Tapi,kendala sekaligus keluhan buat saya hanya di ""penarikan/penjualan"" aset.Waktu cairnya itu lama/cukup lama.harus nunggu berhari hari(Hari Kerja)baru masuk rekening.Saran dari saya,kalau bisa,masuk ke rekeningnya itu SAAT ITU JUGA atau mungkin yaa 1-2 hari dimaklumi lah.",4
103,ok,5
104,Bagus appnya. Buat yg pengen dapet cashback saldo dri bibit pakai kode referal : okebibitpromo,4
105,"simple dan ga ribet, cocok bagi pemula seperti saya dlm bidang investasi.",4
106,mantap,5
107,good and satisfied overall,5
108,great apps to learn invest !,5
109,good,5
110,Great app to start investment culture,5
111,bagus buat pemula,5
112,Cuan.. Cuan...Cuan....,5
113,terbantu buat nabung,5
114,"Mayan kalau mau invest, tapi kalau mau nabung urusan mendesak sebaiknya jangan, habis pencairan dananya tidak instan, jadi lebih mending via bank atau brankas. Dan karena tidak notice biaya antar banknya pas pembelian, baru taunya pas jual ternyata marketnya beda bank jadi ada biaya transfer beda bank. Untungnya ya biaya admin gratis, tapi gak ada jaminan sampai kapan.",3
115,bagus buat pemula,5
116,one of the best👏🏻,5
117,"high risk, especially for other than stable fund option",1
118,nice app,5
119,"Kasih Dark Mode please, mata saya suka sakit kalo lihat layar dengan latar belakang putih. Ntar saya kasih bintang lima kalo udah ada Dark Mode nya :) Terima Kasih.",3
120,the only app that fits my investment style and based on the true principles of investing,5
121,so far so good,5
122,tempat terbaik untuk investasi,5
123,"Challenge nabung rutin 3 bulan auto debet bank Jago ngaco, udah jelas2 gua ikut 3x tiap tgl 8 auto debet progress bar nya juga jalan, gak dapat cash back. Lapor ke cs nya dibilang gak ngaktikan lewat banner, ya kalau gak lewat banner lewat mana lagi kok progress nya bisa jalan, gara2 gak screenshot pas finish challenge gak dpt cash back nya. Turun dulu jadi 1 bintang, tunggu 3 bulan kedepan kalo emang dpt cash back , masa harus ulang lagi sih.",1
124,love the app,5
125,Great app...,5
126,good,5
127,sejauh ini masih meyakinkan mudah2an terus bisa di percaya u kesejahteraan umat,5
128,nice nice nice♥️♥️♥️♥️♥️,5
129,semoga lancar belajar investasi,5
130,nice invest app,5
131,Mudah pengunaanya cocok bagi pemula,5
132,It's easy to use,5
133,very good,5
134,Cocok banget nih buat yg mau mulai investasi.,5
135,app sangat membantu menyisihkan uang dngn tepat,4
136,apps favorite untuk nabung semoga selalu menjadi terdepan ❤️,5
137,good choice good choice,5
138,Investasi paling aman,5
139,Good,5
